Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:35:20.723,0.84364563,8.39274693,4.67447948,0.00204653,15,1498.25,61.96078491,35.29411697
16-Apr-2017 15:35:21.723,3.21950507,8.0861845,4.71279955,0.02792746,17,917.75,43.13725662,17.25490189
16-Apr-2017 15:35:22.728,2.64470029,6.93657541,6.47553396,0.02318376,18,851.5,37.64706039,21.96078491
16-Apr-2017 15:35:23.723,1.95493472,8.35442734,5.05768251,0.03427404,15,839.75,39.2156868,21.96078491
16-Apr-2017 15:35:24.726,2.14653635,8.54602814,4.75112009,0.03946501,12,964,45.88235474,31.37254906
16-Apr-2017 15:35:25.724,1.68669248,7.93290329,4.78944016,-0.02087325,14,1100.75,47.84313965,23.92156792
16-Apr-2017 15:35:26.726,1.30348933,7.93290329,4.13799477,-0.05931413,13,1146.75,50.98039246,27.84313774
16-Apr-2017 15:35:27.728,-0.30596375,7.62634087,6.28393269,0.02679616,15,1275,53.33333588,28.23529434
16-Apr-2017 15:35:28.727,2.14653635,7.5880208,5.40256548,-0.00659198,17,1280.25,52.94117737,28.23529434
16-Apr-2017 15:35:29.724,4.56071615,6.24680948,6.13065147,0.02506834,18,1206.25,42.74509811,19.2156868
16-Apr-2017 15:35:30.726,2.95126271,4.90559864,9.23459625,0.12656385,20,963.25,34.90196228,18.43137169
16-Apr-2017 15:35:31.726,-0.72748721,5.63368464,7.62514353,-0.01173997,19,922.5,35.29411697,18.8235302
16-Apr-2017 15:35:32.728,-1.26397157,6.74497366,6.9353776,0.01355922,16,831.25,40,21.96078491
16-Apr-2017 15:35:33.724,-1.26397157,4.17751265,8.54483128,-0.00291991,15,887.5,40.39215851,20.7843132
16-Apr-2017 15:35:34.727,0.46044251,6.28513002,7.93170595,0.05166966,12,903,38.03921509,20.3921566
16-Apr-2017 15:35:35.724,0.9969269,6.24680948,7.77842474,0.04101676,10,827.25,38.03921509,20.3921566
16-Apr-2017 15:35:36.728,1.07356751,6.70665359,7.43354177,0.04542452,4,799,38.4313736,19.6078434
16-Apr-2017 15:35:37.722,1.34180975,8.16282558,6.13065147,0.06858796,3,778.75,37.25490189,20
16-Apr-2017 15:35:38.723,3.5260675,7.93290329,4.67447948,0.02407235,3,773.25,37.64706039,20
16-Apr-2017 15:35:39.724,3.87095022,7.39641905,5.09600258,0.01600498,0,767,37.64706039,20
16-Apr-2017 15:35:40.725,3.6410284,7.2814579,5.21096373,0.0200792,0,746.75,37.25490189,19.6078434
16-Apr-2017 15:35:41.723,3.67934871,7.24313784,5.09600258,-0.0034166,0,739.75,36.86274719,19.6078434
16-Apr-2017 15:35:42.727,3.67934871,7.43473959,5.59416676,0.03891653,0,717,36.86274719,19.6078434
16-Apr-2017 15:35:43.727,3.41110659,7.16649723,4.98104191,-0.02580756,0,710.75,37.25490189,19.6078434
16-Apr-2017 15:35:44.726,-6.85873699,9.15915298,5.32592487,0.30557734,0,703,37.64706039,20
16-Apr-2017 15:35:45.722,-1.87709653,4.79063797,8.88971329,0.06602889,0,696.75,38.03921509,20
16-Apr-2017 15:35:46.728,-1.83877623,4.59903622,9.46451855,0.10790902,0,696,38.03921509,20.3921566
16-Apr-2017 15:35:47.726,-1.99205744,5.05887985,8.54483128,0.0514074,0,693.75,38.4313736,20.3921566
16-Apr-2017 15:35:48.723,-1.68549502,4.90559864,8.42986965,0.0279606,0,695.25,38.82352829,20.7843132
16-Apr-2017 15:35:49.724,-1.45557308,4.94391918,8.81307316,0.05971068,0,693.75,38.82352829,20.7843132
16-Apr-2017 15:35:50.723,-1.64717472,5.21216106,8.50651073,0.04972428,0,691.25,38.82352829,21.1764698
16-Apr-2017 15:35:51.723,-1.53221369,5.13552046,8.58315086,0.05048615,0,700,39.2156868,20.7843132
16-Apr-2017 15:35:52.724,-1.80045593,5.78696585,8.0466671,0.04588085,0,693.75,39.2156868,21.1764698
16-Apr-2017 15:35:53.723,-1.53221369,5.09720039,8.58315086,0.04850918,0,698.25,39.60784531,21.1764698
